nameslist.txt
GCA_000427095.1_T49
GCA_000724625.1_ASM72462v1
GCA_001442875.1_ASM144287v1
GCA_001442965.1_ASM144296v1
GCA_001442985.1_ASM144298v1
GCA_001457855.1_WRG1.2
GCA_001457975.1_P488
GCA_001458035.1_TKA4.10
GCA_001536225.1_JGI_assembly
GCA_001536245.1_IMG-taxon_2616645014_annotated_assembly
GCA_001536265.1_IMG-taxon_2616645015_annotated_assembly
GCA_001898035.1_ASM189803v1
GCA_002162095.1_ASM216209v1
GCA_002254585.1_ASM225458v1
GCA_002305165.1_ASM230516v1
GCA_002335425.1_ASM233542v1
GCA_002336105.1_ASM233610v1
GCA_002343285.1_ASM234328v1
GCA_002343445.1_ASM234344v1
GCA_002344135.1_ASM234413v1
GCA_002344635.1_ASM234463v1
GCA_002344985.1_ASM234498v1
GCA_002345045.1_ASM234504v1
GCA_002345135.1_ASM234513v1
GCA_002345945.1_ASM234594v1
GCA_002352215.1_ASM235221v1
GCA_002407825.1_ASM240782v1
GCA_002411015.1_ASM241101v1
GCA_002425055.1_ASM242505v1
GCA_002425195.1_ASM242519v1
GCA_002455365.1_ASM245536v1
GCA_002455425.1_ASM245542v1
GCA_002780095.1_ASM278009v1
GCA_003574315.1_ASM357431v1
GCA_003577165.1_ASM357716v1
GCA_003577425.1_ASM357742v1
GCA_003695875.1_ASM369587v1
GCA_007132485.1_ASM713248v1
GCA_008363305.1_ASM836330v1
GCA_008363365.1_ASM836336v1
GCA_009992855.1_ASM999285v1
GCA_011047775.1_ASM1104777v1
GCA_011048065.1_ASM1104806v1
GCA_011048335.1_ASM1104833v1
GCA_011051345.1_ASM1105134v1
GCA_011053695.1_ASM1105369v1
GCA_011053835.1_ASM1105383v1
GCA_011053875.1_ASM1105387v1
GCA_011054145.1_ASM1105414v1
GCA_011055025.1_ASM1105502v1
GCA_011055095.1_ASM1105509v1
GCA_011056065.1_ASM1105606v1
GCA_011056105.1_ASM1105610v1
GCA_011057005.1_ASM1105700v1
GCA_011057205.1_ASM1105720v1
GCA_011329005.1_ASM1132900v1
GCA_011333675.1_ASM1133367v1
GCA_011333895.1_ASM1133389v1
GCA_011335125.1_ASM1133512v1
GCA_011359015.1_ASM1135901v1
GCA_011370285.1_ASM1137028v1
GCA_011371645.1_ASM1137164v1
GCA_011389205.1_ASM1138920v1
GCA_012517255.1_ASM1251725v1
GCA_012522555.1_ASM1252255v1
GCA_012522575.1_ASM1252257v1
GCA_013112795.1_ASM1311279v1
GCA_013178155.1_ASM1317815v1
GCA_013203665.1_ASM1320366v1
GCA_013314755.1_ASM1331475v1
GCA_013314775.1_ASM1331477v1
GCA_013359125.1_ASM1335912v1
GCA_013359165.1_ASM1335916v1
GCA_013360745.1_ASM1336074v1
GCA_014202505.1_ASM1420250v1
GCA_014338115.1_ASM1433811v1
GCA_014380815.1_ASM1438081v1
GCA_015486155.1_ASM1548615v1
GCA_015709495.1_ASM1570949v1
GCA_016125185.1_ASM1612518v1
GCA_016183865.1_ASM1618386v1
GCA_016223145.1_ASM1622314v1
GCA_016235455.1_ASM1623545v1
GCA_016743695.1_ASM1674369v1
GCA_016788115.1_ASM1678811v1
GCA_016788425.1_ASM1678842v1
GCA_016788585.1_ASM1678858v1
GCA_016789105.1_ASM1678910v1
GCA_016860805.1_ASM1686080v1
GCA_016869025.1_JGI_2017-08-21
GCA_016869045.1_JGI_2017-08-21
GCA_017303935.1_ASM1730393v1
GCA_017308175.1_ASM1730817v1
GCA_017347465.1_ASM1734746v1
GCA_017993055.1_ASM1799305v1
GCA_018268235.1_ASM1826823v1
GCA_018268255.1_ASM1826825v1
GCA_018268265.1_ASM1826826v1
GCA_018268295.1_ASM1826829v1
GCA_018268315.1_ASM1826831v1
GCA_018268355.1_ASM1826835v1
GCA_018268395.1_ASM1826839v1
GCA_019186925.1_ASM1918692v1
GCA_019187105.1_ASM1918710v1
GCA_019239955.1_ASM1923995v1
GCA_019454105.1_ASM1945410v1
GCA_019454125.1_ASM1945412v1
GCA_019454145.1_ASM1945414v1
GCA_019638675.1_ASM1963867v1
GCA_019638755.1_ASM1963875v1
GCA_019638775.1_ASM1963877v1
GCA_019638795.1_ASM1963879v1
GCA_019638835.1_ASM1963883v1
GCA_019694835.1_ASM1969483v1
GCA_903821495.1_freshwater_MAG_---_Umea1_bin-3024
GCA_903822145.1_freshwater_MAG_---_LaPlata_bin-4562
GCA_903829375.1_freshwater_MAG_---_LaPlata-7m-a_bin-649
GCA_903833215.1_freshwater_MAG_---_Ki2-D3_bin-0414
GCA_903837435.1_freshwater_MAG_---_Loclat_bin-19690
GCA_903840065.1_freshwater_MAG_---_AM-2014_bin-3848
GCA_903847225.1_freshwater_MAG_---_Kiruna_bin-06268
GCA_903859705.1_freshwater_MAG_---_AM-2014-D2_bin-780
GCA_903860125.1_freshwater_MAG_---_Umea2p1_bin-0696
GCA_903861225.1_freshwater_MAG_---_Umea_bin-08539
GCA_903861825.1_freshwater_MAG_---_AM-2014-D3_bin-326
GCA_903867455.1_freshwater_MAG_---_AM-2014-D1_bin-679
GCA_903882155.1_freshwater_MAG_---_AM-2014-D1_bin-694
GCA_903882635.1_freshwater_MAG_---_Kiruna_bin-05395
GCA_903885605.1_freshwater_MAG_---_LaPlata-b_bin-0775
GCA_903885905.1_freshwater_MAG_---_KT_bin-1274
GCA_903888895.1_freshwater_MAG_---_AM-2014-D2_bin-436
GCA_903890005.1_freshwater_MAG_---_LaPlata-a_bin-2205
GCA_903893175.1_freshwater_MAG_---_AM3_bin-0987
GCA_903894435.1_freshwater_MAG_---_Umea1p3_bin-478
GCA_903896165.1_freshwater_MAG_---_AM-2014-D3_bin-237
GCA_903899015.1_freshwater_MAG_---_Umea_bin-06016
GCA_903900035.1_freshwater_MAG_---_Umea2_bin-3220
GCA_903903035.1_freshwater_MAG_---_Umea_bin-03907
GCA_903904815.1_freshwater_MAG_---_AlinenLipids_bin-9590
GCA_903909455.1_freshwater_MAG_---_AM_bin-3585
